tree	auc	 test_time
1 	 0.457969 	 0.090803 
2 	 0.938167 	 0.156229 
3 	 0.940360 	 0.223342 
4 	 0.941362 	 0.282354 
5 	 0.938876 	 0.351222 
6 	 0.974645 	 0.473520 
7 	 0.841902 	 0.484911 
8 	 0.947041 	 0.550434 
9 	 0.944034 	 0.620152 
10 	 0.851536 	 0.676859 
11 	 0.958854 	 0.740632 
12 	 0.947867 	 0.822532 
13 	 0.945377 	 0.891437 
14 	 0.936255 	 1.118866 
15 	 0.938193 	 1.047726 
16 	 0.941936 	 1.081340 
17 	 0.979701 	 1.192065 
18 	 0.945420 	 1.384690 
19 	 0.935584 	 1.404699 
20 	 0.966333 	 1.425341 
21 	 0.950296 	 1.499937 
22 	 0.948931 	 1.543784 
23 	 0.977744 	 1.642059 
24 	 0.941649 	 1.679661 
25 	 0.945920 	 1.725889 
