tree	auc	 test_time
1 	 0.500000 	 0.092424 
2 	 0.932352 	 0.173204 
3 	 0.046179 	 0.260908 
4 	 0.938956 	 0.334787 
5 	 0.947731 	 0.411952 
6 	 0.046171 	 0.491871 
7 	 0.952023 	 0.569002 
8 	 0.952389 	 0.640781 
9 	 0.948074 	 0.744075 
10 	 0.938295 	 0.813861 
11 	 0.392418 	 0.886065 
12 	 0.948208 	 0.982992 
13 	 0.948250 	 1.046827 
14 	 0.938190 	 1.121826 
15 	 0.949213 	 1.188874 
16 	 0.932998 	 1.296564 
17 	 0.933938 	 1.350642 
18 	 0.944239 	 1.420663 
19 	 0.933956 	 1.521591 
20 	 0.934753 	 1.525146 
21 	 0.948134 	 1.598639 
22 	 0.937962 	 1.746320 
23 	 0.937126 	 1.738014 
24 	 0.936244 	 2.182489 
25 	 0.932112 	 1.893850 
