tree	auc	 test_time
1 	 0.338981 	 0.004080 
2 	 0.284746 	 0.007782 
3 	 0.252541 	 0.011129 
4 	 0.276235 	 0.012991 
5 	 0.290287 	 0.017023 
6 	 0.239362 	 0.019533 
7 	 0.278276 	 0.021679 
8 	 0.275963 	 0.024709 
9 	 0.334466 	 0.027595 
10 	 0.253974 	 0.030575 
11 	 0.266765 	 0.032815 
12 	 0.276649 	 0.035715 
13 	 0.308634 	 0.038706 
14 	 0.350149 	 0.042936 
15 	 0.248254 	 0.044471 
16 	 0.253511 	 0.047998 
17 	 0.282321 	 0.052028 
18 	 0.252978 	 0.054577 
19 	 0.244981 	 0.057332 
20 	 0.256343 	 0.060968 
21 	 0.246414 	 0.062908 
22 	 0.277410 	 0.066465 
23 	 0.249004 	 0.070735 
24 	 0.230485 	 0.071977 
25 	 0.247623 	 0.075077 
