height	auc	 test_time
1 	 0.564526 	 0.005471 
2 	 0.418500 	 0.010245 
3 	 0.396493 	 0.014523 
4 	 0.534940 	 0.019192 
5 	 0.452347 	 0.024338 
6 	 0.470552 	 0.027929 
7 	 0.433571 	 0.032356 
8 	 0.318940 	 0.038814 
9 	 0.510526 	 0.041787 
10 	 0.503963 	 0.050496 
11 	 0.429138 	 0.051973 
12 	 0.458011 	 0.055776 
13 	 0.510201 	 0.060671 
14 	 0.531317 	 0.064996 
15 	 0.513265 	 0.069414 
16 	 0.421787 	 0.075345 
17 	 0.430709 	 0.079149 
18 	 0.527097 	 0.083264 
19 	 0.412496 	 0.088189 
20 	 0.517914 	 0.093659 
21 	 0.440504 	 0.097221 
22 	 0.481761 	 0.102413 
23 	 0.466664 	 0.105679 
24 	 0.552269 	 0.111882 
25 	 0.444354 	 0.115105 
