tree	auc	 test_time
1 	 0.887174 	 0.105182
2 	 0.982055 	 0.180815 
3 	 0.868441 	 0.267958
4 	 0.852197 	 0.340392 
5 	 0.827911 	 0.413572 
6 	 0.824906 	 0.497769 
7 	 0.889409 	 0.564594 
8 	 0.822349 	 0.640187 
9 	 0.862666 	 0.714227 
10 	 0.968045 	 0.795387 
11 	 0.926771 	 0.884522
12 	 0.941128 	 0.953412
13 	 0.936978 	 1.042704 
14 	 0.944333 	 1.111097
15 	 0.918577 	 1.183814
16 	 0.911206 	 1.257279
17 	 0.913703 	 1.308220 
18 	 0.959174 	 1.358231
19 	 0.923396 	 1.431366
20 	 0.985393 	 1.511158 
21 	 0.910242 	 1.589227 
22 	 0.956532 	 1.651572 
23 	 0.912686 	 1.783013 
24 	 0.937303 	 1.807664
25 	 0.902148 	 1.924451
