tree	height	auc	time
1	0.7419	0.7806	0.16453326747
3	0.8451	0.923	0.444560497647
5	0.9035	0.9444	0.706825034232
7	0.9082	0.9526	0.983652063214
9	0.916	0.9606	1.26845440481
11	0.9246	0.9329	1.54105928175
13	0.9269	0.9417	1.81368668666
15	0.9452	0.9686	2.0830114905
17	0.9425	0.9513	2.37425601364
19	0.9322	0.9675	2.72884141903
21	0.9319	0.9463	2.97269814275
23	0.9434	0.9513	3.25899265547
25	0.9531	0.9618	3.54470922324
27	0.9482	0.9652	3.80018218987
29	0.9465	0.9563	4.09908212839
31	0.9482	0.9621	4.39251350347
33	0.9485	0.9692	4.68322227042
35	0.9515	0.9565	4.96249051265
37	0.9515	0.9661	5.25393287237
39	0.9556	0.9633	5.54809947862
41	0.9542	0.9656	5.80796703871
43	0.959	0.9645	6.1037790063
45	0.9553	0.9621	6.42030483217
47	0.9523	0.9741	6.70282529474
49	0.9569	0.9649	7.00431226394
