tree	auc	 test_time
1 	 0.975533 	 0.102637 
2 	 0.806725 	 0.211482
3 	 0.878014 	 0.277966
4 	 0.972345 	 0.363213 
5 	 0.710677 	 0.536001 
6 	 0.853510 	 0.560948
7 	 0.968973 	 0.695905 
8 	 0.970035 	 0.772886 
9 	 0.973710 	 0.828417 
10 	 0.970186 	 0.930239 
11 	 0.884245 	 1.046944
12 	 0.978192 	 1.096915 
13 	 0.959674 	 1.173862 
14 	 0.902342 	 1.302948
15 	 0.980347 	 1.359154 
16 	 0.968171 	 1.449832 
17 	 0.973859 	 1.535150 
18 	 0.980819 	 1.619802 
19 	 0.967813 	 1.718675 
20 	 0.970391 	 1.794715 
21 	 0.964167 	 1.878325 
22 	 0.960588 	 1.963228 
23 	 0.982125 	 2.060845 
24 	 0.968062 	 2.150398 
25 	 0.972946 	 2.228878 
